,contact_type,contact_class_score_diff,contact_id,counter,delay,msg_delay,msg_delay_stamps
0,0,91,3,3,2,691,653
1,0,26,0,3,2,682,644
2,0,147,2,3,0,636,636
3,0,26,2,3,0,626,626
4,0,26,0,3,0,617,617
5,0,147,3,3,1,649,617
6,0,147,3,3,1,640,608
7,0,91,3,3,1,626,599
8,0,26,2,3,1,630,598
9,0,26,0,3,1,617,590
10,0,147,3,3,1,608,581
11,0,26,2,3,0,571,571
12,0,51,3,3,1,598,571
13,0,147,3,3,0,562,562
14,0,118,0,3,0,552,552
15,0,147,2,3,1,575,553
16,0,26,2,3,1,566,544
17,0,26,0,3,1,557,535
18,0,147,3,3,1,543,525
19,0,147,2,3,1,547,525
20,0,51,3,3,1,534,516
21,0,26,0,3,1,525,507
22,0,118,0,3,1,510,497
23,1,22,0,3,1,501,488
24,0,147,3,3,0,480,480
25,0,147,2,3,0,470,470
26,0,51,3,3,0,461,461
27,1,22,0,3,0,469,461
28,0,26,0,3,0,460,452
29,0,147,3,3,0,450,442
30,0,51,2,3,0,437,434
31,0,26,0,3,0,427,424
32,0,147,3,3,0,468,468
33,0,118,0,3,0,418,415
34,1,22,0,3,0,459,459
35,0,26,0,3,0,449,449
36,0,147,2,3,0,440,440
37,0,147,0,3,2,497,440
38,0,51,3,3,2,488,431
39,0,147,2,3,2,474,422
40,0,26,0,3,2,478,421
41,0,118,0,3,2,465,413
42,0,51,2,3,2,452,404
43,0,91,3,3,2,456,404
44,0,26,0,3,2,442,394
45,0,147,3,3,2,433,385
46,0,26,2,3,2,424,376
47,0,91,3,3,0,376,376
48,0,51,0,3,0,366,366
49,0,147,2,3,0,357,357
50,0,51,2,3,2,392,349
51,0,26,0,3,2,382,339
52,0,147,0,3,2,373,330
53,0,147,3,3,2,368,330
54,1,22,0,3,2,359,321
55,0,51,0,3,2,349,311
56,0,147,3,3,2,336,303
57,0,26,2,3,2,327,294
58,0,26,0,3,0,284,284
59,0,147,3,3,0,275,275
60,0,26,2,3,0,265,265
61,0,91,3,3,1,293,265
62,0,26,0,3,1,284,256
63,0,147,3,3,1,275,247
64,1,22,0,3,1,261,238
65,0,26,2,3,1,265,237
66,0,26,0,3,1,252,229
67,0,147,3,3,1,243,220
68,1,22,0,3,0,210,210
69,0,51,0,3,0,201,201
70,0,118,0,3,1,211,193
71,0,147,2,3,0,192,192
72,0,51,3,3,1,201,183
73,0,51,0,3,1,192,174
74,0,51,0,3,1,183,165
75,0,147,2,3,1,178,165
76,0,26,2,3,1,168,155
77,0,51,0,3,1,159,146
78,0,147,3,3,1,147,138
79,1,22,0,3,1,137,128
80,0,78,0,3,0,119,119
81,0,147,0,3,0,109,109
82,1,22,0,3,0,100,100
83,0,51,3,3,0,103,100
84,0,51,0,3,0,94,91
85,0,118,0,3,0,84,81
86,1,22,0,3,0,125,125
87,0,26,0,3,0,116,116
88,0,147,2,3,0,106,106
89,0,147,3,3,2,164,107
90,0,51,3,3,2,155,98
91,0,26,0,3,2,146,89
92,0,147,2,3,2,136,79
93,0,147,3,3,2,131,79
94,1,22,0,3,2,122,70
95,0,51,0,3,2,113,61
96,0,147,0,3,0,52,52
97,0,26,2,3,0,43,43
98,0,51,0,3,2,81,34
99,0,118,0,3,2,71,24
100,0,26,2,3,2,58,16
101,0,147,3,3,2,62,15
102,0,51,0,3,2,49,7
103,0,147,2,2,0,598,598
104,0,147,2,2,0,598,598
105,1,22,0,2,0,589,589
106,0,91,3,1,3,815,589
107,1,22,0,2,0,589,589
108,0,147,3,1,3,805,579
109,0,147,3,0,3,792,571
110,0,118,0,1,3,796,570
111,1,22,0,0,3,783,562
112,0,51,0,0,3,773,552
113,0,147,2,0,3,764,543
114,0,147,3,0,3,759,543
115,1,22,0,0,3,750,534
116,0,51,0,0,3,740,524
117,0,147,0,0,3,727,516
118,0,91,3,0,3,718,507
119,0,51,0,2,1,507,497
120,0,51,0,2,1,507,497
121,0,147,2,2,1,498,488
122,0,147,2,2,1,498,488
123,1,22,0,2,1,489,479
124,0,51,3,2,0,484,479
125,1,22,0,2,1,489,479
126,0,147,3,2,0,474,469
127,0,147,0,2,0,465,460
128,0,51,3,0,3,654,506
129,0,118,0,0,3,644,496
130,0,118,0,0,3,635,487
131,0,51,3,0,3,620,477
132,0,118,0,0,3,611,468
133,0,147,2,0,3,602,459
134,0,118,0,0,2,597,459
135,0,118,3,0,2,587,449
136,0,26,0,0,2,578,440
137,0,147,0,0,2,569,431
138,0,147,2,0,2,557,490
139,0,51,2,0,2,547,480
140,0,26,0,0,2,538,471
141,0,147,3,0,0,525,522
142,0,51,3,0,0,515,512
143,0,147,2,2,2,611,563
144,0,147,3,2,2,602,554
145,1,22,0,2,2,588,545
146,0,51,2,2,2,592,544
147,0,147,3,2,2,579,536
148,0,147,3,1,0,527,527
149,0,147,2,2,2,570,527
150,0,91,3,1,0,517,517
151,0,26,0,1,0,508,508
152,0,147,3,2,2,538,500
153,1,22,0,2,2,528,490
154,0,147,3,2,2,519,481
155,0,26,0,2,2,514,481
156,0,147,3,2,2,504,471
157,0,91,3,2,1,491,463
158,1,22,0,2,2,495,462
159,0,147,2,2,1,482,454
160,0,147,2,2,1,472,444
161,0,91,3,1,0,435,435
162,0,147,2,1,0,426,426
163,0,147,3,1,0,416,416
164,0,147,0,1,1,439,416
165,0,91,3,1,1,430,407
166,0,147,3,1,1,417,399
167,0,147,2,1,1,421,398
168,0,147,0,1,1,407,389
169,0,26,2,1,1,398,380
170,0,51,3,1,1,393,380
171,0,147,3,1,1,384,371
172,0,147,3,1,0,362,362
173,0,147,0,1,1,374,361
174,0,147,3,1,0,362,362
175,0,147,2,1,0,353,353
176,0,147,2,1,0,353,353
177,0,147,2,1,0,344,344
178,0,51,0,1,0,352,344
179,0,147,2,1,0,344,344
180,0,147,3,1,0,342,334
181,1,22,0,1,0,333,325
182,0,147,2,0,2,394,279
183,0,147,2,0,2,394,279
184,0,26,1,0,2,385,270
185,0,26,1,0,2,385,270
186,0,51,1,0,2,367,261
187,0,147,3,0,2,358,252
188,0,26,2,0,2,344,244
189,0,147,2,1,3,598,343
190,0,147,3,0,2,330,234
191,0,26,0,0,2,334,234
192,0,147,3,1,3,589,334
193,1,22,0,1,3,581,326
194,0,26,2,2,3,635,380
195,0,147,2,0,2,321,225
196,0,51,3,1,3,580,325
197,0,147,2,1,3,571,316
198,0,51,0,2,3,625,370
199,1,22,0,0,2,312,216
200,0,118,0,0,3,562,307
201,0,51,2,0,2,307,216
202,0,147,3,2,3,617,362
203,0,147,2,1,3,562,307
204,0,91,0,2,3,616,361
205,0,51,3,0,3,553,298
206,0,147,2,0,2,297,206
207,0,91,3,2,3,608,353
208,0,147,2,0,3,543,288
209,0,51,0,2,3,598,343
210,0,147,3,0,1,276,254
211,0,51,3,0,3,530,304
212,0,26,1,0,1,267,245
213,0,147,3,0,3,520,294
214,0,147,1,0,3,507,286
215,0,51,0,0,3,511,285
216,1,22,0,0,3,497,276
217,0,147,3,0,3,483,267
218,0,147,3,0,3,470,258
219,0,147,1,0,3,474,258
220,1,22,0,0,3,460,248
221,0,51,1,0,3,451,239
222,0,147,2,0,3,446,298
223,0,147,1,0,3,437,289
224,1,22,0,0,2,423,339
225,0,51,1,0,2,414,330
226,0,147,3,0,1,402,390
227,0,147,3,0,1,393,381
228,0,26,1,2,2,474,432
229,0,26,2,0,1,383,371
230,0,51,0,2,2,465,423
231,0,147,1,2,2,451,414
232,0,118,2,1,1,437,405
233,0,51,3,2,2,441,404
234,0,51,0,1,1,428,396
235,0,147,1,1,1,419,387
236,0,147,3,1,1,414,387
237,1,22,0,1,1,404,377
238,0,147,2,1,0,368,368
239,0,147,1,1,0,358,358
240,1,22,0,1,1,372,350
241,0,147,3,1,1,363,341
242,0,118,0,1,1,354,341
243,0,118,0,1,1,354,341
244,0,147,3,1,1,344,331
245,0,147,3,1,1,344,331
246,0,51,2,1,0,323,323
247,1,22,0,1,1,335,322
248,1,22,0,1,1,335,322
249,0,147,2,1,0,314,314
250,0,147,3,1,0,312,304
251,0,51,3,1,0,299,296
252,0,51,2,1,0,303,295
253,0,147,2,1,0,290,287
254,0,147,2,1,0,280,277
255,0,118,0,2,0,332,332
256,0,26,2,2,0,323,323
257,0,147,3,2,0,269,269
258,0,51,3,2,3,560,305
259,0,118,2,2,0,259,259
260,0,147,1,2,3,551,296
261,0,51,0,2,3,542,287
262,0,147,2,2,3,542,287
263,0,51,2,2,3,532,277
264,0,147,3,3,2,281,242
265,0,147,3,3,2,266,232
266,0,147,3,2,3,514,259
267,0,118,1,3,2,271,232
268,0,51,2,3,2,257,223
269,0,91,1,2,3,505,250
270,0,147,2,2,0,214,214
271,0,51,0,3,2,248,214
272,0,147,1,2,0,204,204
273,0,26,1,2,0,195,195
274,1,22,0,3,1,220,196
275,0,147,3,3,1,211,187
276,0,147,1,3,1,197,178
277,0,51,3,2,0,169,169
278,1,22,0,3,1,188,169
279,0,147,3,2,0,160,160
280,0,118,2,2,0,150,150
281,0,147,3,3,1,164,150
282,0,51,1,3,1,151,142
283,1,22,0,3,1,155,141
284,0,51,1,3,1,142,133
285,0,147,1,3,1,132,123
286,0,147,3,2,0,123,123
287,0,51,1,2,0,114,114
288,0,51,0,2,0,110,106
289,0,51,1,2,0,105,105
290,0,147,2,2,0,100,96
291,0,26,2,1,3,319,141
292,0,51,1,2,0,91,87
293,0,51,0,1,3,309,131
294,0,147,1,1,3,300,122
295,0,147,3,1,3,295,122
296,0,26,2,1,3,286,113
297,0,147,3,0,3,271,103
298,0,147,3,0,3,258,95
299,0,118,0,0,3,262,94
300,0,147,0,0,2,428,288
301,0,51,3,0,2,419,279
302,1,22,2,0,2,414,279
303,0,51,0,0,2,405,270
304,0,26,2,0,2,395,260
305,0,147,3,0,2,386,251
306,1,22,0,0,2,381,309
307,0,26,0,0,2,372,300
308,0,147,0,0,2,362,290
309,0,147,3,0,0,350,350
310,0,118,3,0,3,713,546
311,1,22,0,0,0,341,341
312,1,22,2,0,0,332,332
313,0,147,0,0,3,703,536
314,0,26,2,1,0,382,382
315,0,26,0,0,3,694,527
316,0,147,2,1,0,373,373
317,0,147,2,0,3,682,528
318,0,26,0,1,0,364,364
319,0,26,2,2,2,413,365
320,1,22,2,0,3,673,519
321,0,147,0,2,2,403,355
322,0,147,0,0,3,663,509
323,0,147,3,2,2,389,346
324,1,22,0,2,2,394,346
325,0,26,0,2,2,379,336
326,0,147,0,2,2,370,327
327,0,118,2,2,2,357,319
328,1,22,0,2,2,361,318
329,1,22,2,2,2,347,309
330,0,118,0,2,2,338,300
331,0,147,3,2,2,324,291
332,0,26,2,2,2,314,281
333,0,147,2,2,2,305,272
334,0,147,0,2,1,300,272
335,1,22,0,2,1,291,263
336,1,22,2,2,1,281,253
337,0,147,3,1,1,268,245
338,0,26,0,1,1,259,236
339,0,147,3,1,1,249,226
340,0,26,2,1,1,244,226
341,0,51,2,1,1,235,217
342,1,22,2,1,1,222,209
343,0,26,0,1,1,226,208
344,0,147,0,1,1,212,199
345,1,22,2,1,1,203,190
346,0,53,0,1,0,189,181
347,0,147,3,1,0,179,171
348,1,22,0,1,0,166,163
349,0,118,3,1,0,170,162
350,0,26,0,1,0,156,153
351,0,147,2,1,0,147,144
352,1,22,0,0,3,433,190
353,1,95,2,0,3,423,180
354,0,147,0,0,3,414,171
355,0,26,2,2,0,171,171
356,0,91,3,2,0,162,162
357,1,95,2,2,0,152,152
358,0,51,2,3,1,171,144
359,1,22,0,3,1,162,135
360,0,26,0,3,1,148,125
361,1,22,2,3,1,152,125
362,0,147,3,3,1,139,116
363,0,118,3,3,1,126,108
364,0,147,2,3,1,130,107
365,0,118,0,3,1,116,98
366,0,147,0,3,1,107,89
367,1,22,0,3,1,98,80
368,0,147,3,2,0,80,80
369,0,26,2,2,0,70,70
370,0,91,2,2,0,61,61
371,1,22,0,2,1,63,51
372,0,26,0,2,1,54,42
373,0,26,2,2,0,42,34
374,0,147,0,2,1,45,33
375,0,118,3,2,0,32,24
376,0,26,0,2,0,23,15
377,0,118,2,2,0,9,6
378,0,147,2,3,1,665,647
379,0,147,0,3,1,652,638
380,0,26,2,3,1,656,638
381,0,147,2,3,1,643,629
382,0,51,3,3,1,633,619
383,0,26,2,3,1,620,611
384,0,147,2,3,1,611,602
385,0,118,3,3,1,601,592
386,0,147,2,3,0,592,592
387,0,26,2,3,0,583,583
388,0,147,2,3,0,573,573
389,1,22,0,3,0,564,564
390,0,91,3,3,0,568,564
391,0,26,2,3,0,559,555
392,0,147,2,3,0,549,545
393,1,95,0,1,2,731,590
394,0,147,2,3,0,540,536
395,0,93,0,1,2,722,581
396,0,51,0,1,2,712,571
397,0,51,3,0,2,699,563
398,0,26,2,0,2,690,554
399,0,147,2,0,2,680,544
400,0,147,0,0,2,675,544
401,1,22,0,0,2,666,535
402,0,147,0,0,2,657,526
403,0,147,2,0,2,635,517
404,0,91,3,0,2,626,508
405,0,147,0,0,2,617,499
406,0,147,2,0,2,612,499
407,0,118,0,0,2,602,489
408,0,91,3,0,2,593,480
409,1,95,2,0,2,579,471
410,0,53,2,0,2,569,461
411,1,22,0,0,2,560,452
412,0,118,3,0,2,548,510
413,0,26,2,0,2,539,501
414,0,118,0,0,2,529,491
415,1,22,2,0,0,550,542
416,1,22,0,0,2,520,482
417,0,147,0,0,0,540,532
418,0,147,0,0,0,531,523
419,0,118,3,0,0,518,515
420,1,22,0,0,0,522,514
421,0,147,0,0,0,508,505
422,0,51,0,0,0,499,496
423,0,147,1,0,3,1150,895
424,0,26,2,0,3,1140,885
425,0,147,0,1,3,736,481
426,1,95,0,0,3,546,380
427,1,95,0,0,3,546,380
428,0,147,2,1,3,727,472
429,0,147,0,0,3,537,371
430,0,147,0,0,3,537,371
431,1,22,2,1,3,718,463
432,0,147,2,0,3,524,362
433,0,118,0,0,3,528,362
434,0,147,0,1,3,709,454
435,0,118,0,0,3,528,362
436,0,118,3,0,3,514,352
437,0,26,2,1,3,700,445
438,0,26,2,1,3,691,436
439,0,122,2,0,3,505,343
440,0,118,3,1,3,691,436
441,0,118,0,2,3,755,500
442,0,147,0,1,3,681,426
443,1,22,2,0,3,496,334
444,0,91,3,2,3,746,491
445,1,68,2,1,3,672,417
446,0,51,0,0,3,483,335
447,0,118,3,1,3,663,408
448,0,53,2,2,3,736,481
449,1,22,0,1,3,662,407
450,1,22,0,0,3,473,325
451,0,147,0,1,3,654,399
452,1,22,2,0,3,464,316
453,0,118,0,0,3,451,307
454,0,26,0,1,3,645,390
455,1,22,0,0,3,441,297
456,1,95,2,0,2,428,289
457,0,147,0,0,3,432,288
458,0,26,2,0,2,419,280
459,1,22,0,0,2,409,270
460,0,118,0,0,2,395,316
461,0,147,0,0,2,386,307
462,1,22,0,0,2,376,297
463,0,147,2,0,0,363,357
464,1,95,2,0,0,354,348
465,0,147,0,0,0,345,339
466,1,22,0,0,3,548,389
467,0,147,0,0,3,539,380
468,0,147,0,0,3,526,371
469,0,147,2,0,3,530,371
470,1,22,0,0,3,516,361
471,0,147,0,0,3,507,352
472,0,147,0,0,3,493,343
473,0,118,3,0,3,484,334
474,0,26,0,0,3,470,325
475,0,53,2,0,3,460,315
476,0,53,2,0,3,451,306
477,0,93,2,0,2,438,298
478,0,91,2,2,2,217,180
479,0,147,1,2,2,207,170
480,0,91,2,2,1,197,170
481,0,147,1,2,1,188,161
482,0,147,2,2,0,153,153
483,0,118,3,2,1,179,152
484,0,147,0,2,0,143,143
485,0,147,2,2,0,134,134
486,0,147,1,2,1,156,134
487,0,118,3,2,1,147,125
488,0,26,2,2,1,137,115
489,0,147,0,2,1,125,107
490,1,22,1,2,1,116,98
491,0,147,2,2,1,111,98
492,0,147,1,2,1,101,88
493,0,147,0,2,1,92,79
494,1,22,0,2,0,71,71
495,0,26,2,2,0,61,61
496,0,26,1,2,0,69,61
497,0,147,1,2,0,60,52
498,0,147,2,2,0,50,42
499,0,26,1,2,0,45,42
500,0,51,1,2,0,36,33
501,0,147,1,3,0,77,77
502,0,147,0,2,0,27,24
503,0,147,3,3,0,67,67
504,0,26,2,3,2,176,59
505,0,147,2,3,2,167,50
506,0,91,1,3,2,153,40
507,0,147,0,3,2,140,32
508,0,26,2,3,2,144,31
509,0,147,0,3,2,75,32
510,0,147,2,3,2,131,23
511,0,147,2,3,2,66,23
512,1,22,0,3,2,121,13
513,0,118,3,3,0,13,13
514,1,22,0,3,2,56,13
515,0,147,0,3,0,4,4
516,0,147,2,2,2,1067,1014
517,0,147,2,2,2,1053,1004
518,0,118,3,2,2,1057,1004
519,0,26,2,2,2,1044,995
520,0,147,0,2,2,1031,987
521,0,147,3,2,2,1021,977
522,0,51,1,2,2,1016,977
523,0,147,3,2,2,1007,968
524,0,147,1,2,2,997,958
525,0,147,3,2,2,992,958
526,1,22,0,2,2,983,949
527,0,147,1,2,1,970,941
528,0,147,2,2,1,960,931
529,0,91,3,2,1,951,922
530,1,22,1,2,1,946,922
531,0,147,1,2,1,937,913
532,0,147,2,1,1,923,904
533,0,26,1,1,1,910,895
534,0,147,2,1,1,914,895
535,0,147,0,1,1,901,886
536,0,147,1,1,1,887,877
537,0,118,0,1,1,891,876
538,0,147,1,1,1,878,868
539,0,26,2,1,1,869,859
540,0,51,1,1,0,863,859
541,0,147,2,1,0,853,849
542,0,51,0,1,3,1121,885
543,0,147,2,1,3,1112,876
544,1,22,0,2,0,868,868
545,1,22,1,1,3,1103,867
546,0,147,0,2,0,858,858
547,0,147,0,2,0,849,849
548,0,147,1,1,3,1079,849
549,0,147,2,1,3,1070,840
550,0,147,0,1,3,1057,831
551,0,26,2,1,3,1060,830
552,0,147,2,1,3,1048,822
553,1,22,0,1,3,1039,813
554,0,147,0,1,3,1024,803
555,0,147,2,1,3,1015,794
556,0,147,2,1,3,1006,785
557,0,147,3,2,0,785,785
558,0,147,0,2,0,775,775
559,0,147,2,2,0,766,766
560,1,22,0,2,0,757,757
561,0,147,2,1,3,965,758
562,0,26,2,1,3,955,748
563,0,147,2,1,3,946,739
564,0,147,2,1,3,931,729
565,1,22,0,1,3,936,729
566,0,147,0,1,3,922,720
567,0,147,2,1,3,913,711
568,0,147,2,3,1,726,702
569,0,147,2,3,1,726,702
570,0,147,0,3,1,717,693
571,0,147,0,3,1,717,693
572,0,147,2,3,1,708,684
573,0,147,0,2,0,684,684
574,0,147,2,3,1,708,684
575,1,22,0,2,0,674,674
576,0,147,0,2,0,665,665
577,0,147,2,3,1,675,657
578,0,118,3,0,1,517,498
579,0,118,3,0,1,517,498
580,0,147,1,1,1,558,540
581,0,147,0,0,1,508,489
582,0,147,0,0,1,508,489
583,0,26,1,1,1,545,531
584,1,22,0,1,1,548,530
585,0,147,0,1,1,536,522
586,0,147,0,1,1,512,503
587,0,147,2,1,1,503,494
588,0,118,0,1,1,494,485
589,0,147,1,0,0,485,485
590,0,147,1,0,0,475,475
591,0,26,1,0,0,466,466
592,0,118,3,0,0,470,467
593,0,147,0,0,0,461,458
594,0,147,2,2,0,507,507
595,0,147,2,2,0,498,498
596,0,147,1,1,3,714,479
597,0,147,2,1,3,705,470
598,0,91,0,1,3,692,462
599,0,26,2,1,3,696,461
600,0,91,1,1,3,682,452
601,1,22,0,1,3,673,443
602,0,26,2,2,0,443,443
603,0,147,2,2,0,433,433
604,0,147,0,1,3,650,425
